,id_season,tm,opp,game_nb,before_average_W_ratio,before_average_W_ratio_opp,extdom_ext,rest,before_average_pts_tm,before_average_pts_opp,before_average_pts_tm_opp,before_average_pts_opp_opp,id,results
76,2010,BOS,TOR,32,0.7419354838709677,0.4848484848484848,0,3,100.5,92.6,103.5,105.8,2010-01-02_TOR_BOS,1
77,2010,BOS,MIA,33,0.75,0.53125,1,4,100.5,92.8,96.7,96.1,2010-01-06_BOS_MIA,1
78,2010,BOS,TOR,35,0.7352941176470589,0.5135135135135135,1,2,100.4,93.1,103.2,105.1,2010-01-10_BOS_TOR,1
79,2010,BOS,ATL,36,0.7428571428571429,0.6388888888888888,0,1,100.8,93.5,103.4,97.8,2010-01-11_ATL_BOS,0
80,2010,BOS,NJN,37,0.7222222222222222,0.081081081081081,1,2,100.7,93.8,89.8,101.1,2010-01-13_BOS_NJN,1
81,2010,BOS,CHI,38,0.7297297297297297,0.4444444444444444,0,1,100.9,93.6,93.6,97.2,2010-01-14_CHI_BOS,0
82,2010,BOS,DAL,39,0.7105263157894737,0.65,0,4,100.5,93.7,100.2,98.1,2010-01-18_DAL_BOS,0
83,2010,BOS,DET,40,0.6923076923076923,0.35,1,2,100.2,93.8,92.2,97.1,2010-01-20_BOS_DET,0
84,2010,BOS,LAC,42,0.6829268292682927,0.4651162790697674,0,3,99.8,93.8,96.2,98.7,2010-01-25_LAC_BOS,1
85,2010,BOS,ORL,43,0.6904761904761905,0.6444444444444445,1,3,99.7,93.7,101.1,96.3,2010-01-28_BOS_ORL,0
86,2010,BOS,LAL,45,0.6590909090909091,0.7659574468085106,0,2,99.4,93.9,103.9,96.8,2010-01-31_LAL_BOS,0
87,2010,BOS,WAS,46,0.6444444444444445,0.3478260869565217,1,1,99.1,93.8,98.2,102.0,2010-02-01_BOS_WAS,1
88,2010,BOS,MIA,47,0.6521739130434783,0.5,0,2,99.1,93.7,96.8,96.4,2010-02-03_MIA_BOS,1
89,2010,BOS,ORL,49,0.6666666666666666,0.66,0,2,99.2,93.7,100.6,95.4,2010-02-07_ORL_BOS,0
90,2010,BOS,NOH,50,0.6530612244897959,0.5192307692307693,1,3,99.0,93.7,100.2,101.5,2010-02-10_BOS_NOH,0
